Mods count: 155
 
jar name                                                                        | mod id (isMCreator)                      | mixin configs
reforgedplaymod-1.21.1-0.3.jar                                                  | reforgedplaymod                          | mixins.recording.replaymod.json, mixins.compat.mapwriter.replaymod.json, mixins.extras.playeroverview.replaymod.json, mixins.render.replaymod.json, mixins.jgui.json, mixins.core.replaymod.json, mixins.nonmmlauncher.replaymod.json, mixins.render.blend.replaymod.json, mixins.compat.shaders.replaymod.json, mixins.replay.replaymod.json
    /META-INF/jars/2.79.0-a0696f8.jar                                           |                                          | 
    /META-INF/jars/aspectjrt-1.8.2.jar                                          |                                          | 
    /META-INF/jars/commons-exec-1.3.jar                                         |                                          | 
    /META-INF/jars/google-api-client-gson-1.20.0.jar                            |                                          | 
    /META-INF/jars/google-api-client-java6-1.20.0.jar                           |                                          | 
    /META-INF/jars/google-api-services-youtube-v3-rev178-1.22.0.jar             |                                          | 
    /META-INF/jars/google-oauth-client-jetty-1.20.0.jar                         |                                          | 
    /META-INF/jars/isoparser-1.1.7.jar                                          |                                          | 
    /META-INF/jars/jgltf-model-3af6de4.jar                                      |                                          | 
    /META-INF/jars/lwjgl-tinyexr-3.3.1.jar                                      |                                          | 
    /META-INF/jars/lwjgl-utils-27dcd66.jar                                      |                                          | 
    /META-INF/jars/opennbt-0a02214.jar                                          |                                          | 
refurbished_furniture-neoforge-1.21.1-1.0.20.jar                                | refurbished_furniture                    | refurbished_furniture.common.mixins.json
regions_unexplored-neoforge-1.21.1-0.5.6.1.jar                                  | regions_unexplored                       | regions_unexplored.neoforge.mixins.json, regions_unexplored.mixins.json
relics-1.21.1-0.10.7.6.jar                                                      | relics                                   | relics.mixins.json
rhino-2101.2.7-build.77.jar                                                     | rhino                                    | 
ScalableCatsForce-NeoForge-3.7.1-build-11-with-library.jar                      |                                          | 
Searchables-neoforge-1.21.1-1.0.2.jar                                           | searchables                              | searchables.neoforge.mixins.json, searchables.mixins.json
sgearmetalworks-1.21.1-1.4.5.jar                                                | sgearmetalworks                          | 
